authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,issue,type_mapping,packet
"Chevaleyre V, Siegelbaum SA",20510860,PMC2905041,NIHMSID211734,10.1016/j.neuron.2010.04.013,,1,560,572,Strong CA2 pyramidal neuron synapses define a powerful disynaptic cortico-hippocampal loop.,2010 May 27,Neuron,66,4,,0
"Varga C, Lee SY, Soltesz I",20512133,,,10.1038/nn.2570,,,822,824,Target-selective GABAergic control of entorhinal cortex output.,2010 Jul,Nat Neurosci,13,7,,
"Szabo GG, Holderith N, Gulyas AI, Freund TF, Hajos N",20529124,,,10.1111/j.1460-9568.2010.07292.x,,,2234,2246,Distinct synaptic properties of perisomatic inhibitory cell types and their different modulation by cholinergic receptor activation in the CA3 region of the  mouse hippocampus.,2010 Jun,Eur J Neurosci,31,12,,
"Lee SH, Foldy C, Soltesz I",20534847,PMC2904437,NIHMSID212077,10.1523/JNEUROSCI.6238-09.2010,,1,7993,8000,Distinct endocannabinoid control of GABA release at perisomatic and dendritic synapses in the hippocampus.,2010 Jun 9,J Neurosci,30,23,"4015: CA1:SCA-ADI: CA1 Schaffer collateral-associated cells, CA1 SCA cells, CA1 SCA interneurons",1
"Scorza CA, Araujo BH, Arida RM, Scorza FA, Torres LB, Amorim HA, Cavalheiro EA",20547211,,,10.1016/j.neuroscience.2010.05.079,,,965,973,Distinctive hippocampal CA2 subfield of the Amazon rodent Proechimys.,2010 Sep 1,Neuroscience,169,3,,
"Marchionni I, Takacs VT, Nunzi MG, Mugnaini E, Miller RJ, Maccaferri G",20547684,PMC2956903,,10.1113/jphysiol.2010.190868,,,2859,2878,Distinctive properties of CXC chemokine receptor 4-expressing Cajal-Retzius cells versus GABAergic interneurons of the postnatal hippocampus.,2010 Aug 1,J Physiol,588,15,,
"Szabadics J, Varga C, Brunner J, Chen K, Soltesz I",20554881,PMC2903457,NIHMSID213319,10.1523/JNEUROSCI.5602-09.2010,,1,8296,8307,Granule cells in the CA3 area.,2010 Jun 16,J Neurosci,30,24,2001: CA3:GC: CA3 granule cell ### 2030: CA3:BiC-ivy: CA3 ivy cell ### 2036: CA3:MFA-1: CA3 mossy fiber-associated cell ### 2041: CA3:RSBC: CA3 CCK-positive regular spiking basket cells,1
"Karayannis T, Elfant D, Huerta-Ocampo I, Teki S, Scott RS, Rusakov DA, Jones MV, Capogna M",20660272,PMC3377669,,10.1523/JNEUROSCI.5883-09.2010,,1,9898,9909,Slow GABA transient and receptor desensitization shape synaptic responses evoked  by hippocampal neurogliaform cells.,2010 Jul 21,J Neurosci,30,29,"4012: CA1:NGF: CA1 neurogliaform cells, CA1 NGFC cells",1
"Quilichini P, Sirota A, Buzsaki G",20720120,PMC2937273,NIHMSID229548,10.1523/JNEUROSCI.1327-10.2010,,1,11128,11142,Intrinsic circuit organization and theta-gamma oscillation dynamics in the entorhinal cortex of the rat.,2010 Aug 18,J Neurosci,30,33,6095: EC:HOBIPPY: EC5 pyramidal cell,1
"Mercer A, Eastlake K, Trigg HL, Thomson AM",20882544,,,10.1002/hipo.20841,,,43,56,Local circuitry involving parvalbumin-positive basket cells in the CA2 region of  the hippocampus.,2012 Jan,Hippocampus,22,1,3007: CA2:BC_proj: CA2 basket cell with wide arbor ### 3006: CA2:BC: CA2 basket cell with wide arbor,1
