authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,issue,type_mapping,packet
"Fuentealba P, Begum R, Capogna M, Jinno S, Marton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T",18367092,,,10.1016/j.neuron.2008.01.034,,,917,929,"Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity.",2008 Mar 27,Neuron,57,6,4012: CA1:NGF: CA1 neurogliaform cells ### 4026: CA1:BiC-ivy: CA1 ivy cells,1
"Calixto E, Galvan EJ, Card JP, Barrionuevo G",18388134,,,10.1113/jphysiol.2008.152751,,,2695,2712,Coincidence detection of convergent perforant path and mossy fibre inputs by CA3  interneurons.,2008 Jun 1,J Physiol,586,Pt 11,,
"Zhao C, Braunewell KH",18440708,,,10.1016/j.neuroscience.2007.10.067,,,1202,1212,Expression of the neuronal calcium sensor visinin-like protein-1 in the rat hippocampus.,2008 Jun 2,Neuroscience,153,4,,
"Boulland JL, Jenstad M, Boekel AJ, Wouterlood FG, Edwards RH, Storm-Mathisen J, Chaudhry FA",18502731,,,10.1093/cercor/bhn077,,,241,248,Vesicular glutamate and GABA transporters sort to distinct sets of vesicles in a population of presynaptic terminals.,2009 Jan,Cereb Cortex,19,1,,
"Knopp A, Frahm C, Fidzinski P, Witte OW, Behr J",18504292,,,10.1093/brain/awn095,,,1516,1527,Loss of GABAergic neurons in the subiculum and its functional implications in temporal lobe epilepsy.,2008 Jun,Brain,131,Pt 6,,0
"Cox DJ, Racca C, LeBeau FE",18546278,,,10.1002/cne.21758,,,551,565,Beta-adrenergic receptors are differentially expressed in distinct interneuron subtypes in the rat hippocampus.,2008 Aug 20,J Comp Neurol,509,6,,0
"Smith AM, Pappalardo D, Chen WJ",18558471,,NIHMSID75292,10.1016/j.ntt.2008.05.001,,1,495,502,Estimation of neuronal numbers in rat hippocampus following neonatal amphetamine  exposure: a stereology study.,2008 Nov-Dec,Neurotoxicol Teratol,30,6,,0
"Price CJ, Scott R, Rusakov DA, Capogna M",18596171,PMC2685170,,10.1523/JNEUROSCI.4673-07.2008,,1,6974,6982,GABA(B) receptor modulation of feedforward inhibition through hippocampal neurogliaform cells.,2008 Jul 2,J Neurosci,28,27,"4012: CA1:NGF: CA1 neurogliaform cells, CA1 NGFC cells",1
"Boscia F, Ferraguti F, Moroni F, Annunziato L, Pellegrini-Giampietro DE",18599092,,,10.1016/j.neuropharm.2008.04.024,,,428,439,mGlu1alpha receptors are co-expressed with CB1 receptors in a subset of interneurons in the CA1 region of organotypic hippocampal slice cultures and adult rat brain.,2008 Sep,Neuropharmacology,55,4,,
"Klausberger T, Somogyi P",18599766,,,10.1126/science.1149381,,,53,57,Neuronal diversity and temporal dynamics: the unity of hippocampal circuit operations.,2008 Jul 4,Science,321,5885,"4000: CA1:PC: CA1 pyramidal cell ### 4004: CA1:PPA_proj: CA1 lacunosum-moleculare-radiatum perforant path-associated cell ### 4006: CA1:PPA-SUB: CA1 lacunosum-moleculare-radiatum perforant path-associated cell ### 4012: CA1:NGF: CA1 neurogliaform cells ### 4037: CA1:BC: CA1 basket PV, CA1 basket CCK/VIP, CA1 basket CCK/VGLUT3 ### 4036: CA1:AA: CA1 axo-axonic neuron ### 4020: CA1:quad_IS-3: CA1 interneuron-specific-III ### 4021: CA1:IS-2: CA1 interneuron-specific-II ### 4023: CA1:BP: CA1 back-projection cell ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells, CA1 ivy cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar ### 4007: CA1:CH: CA1 cholinergic neurons ### 4014: CA1:lg_CB: CA1 large calbindin neuron",1
"Meyer KD, Morris JA",18620078,,,10.1016/j.gep.2008.06.005,,,494,501,Immunohistochemical analysis of Disc1 expression in the developing and adult hippocampus.,2008 Sep,Gene Expr Patterns,8,08-Jul,,
"Takacs VT, Freund TF, Gulyas AI",18662340,,,10.1111/j.1460-9568.2008.06319.x,,,148,164,Types and synaptic connections of hippocampal inhibitory neurons reciprocally connected with the medial septum.,2008 Jul,Eur J Neurosci,28,1,,0
"Akiyama K, Nakanishi S, Nakamura NH, Naito T",18662864,,,10.1016/j.nut.2008.06.018,,,918,923,"Gene expression profiling of neuropeptides in mouse cerebellum, hippocampus, and  retina.",2008 Sep,Nutrition,24,9,,
"Torres-Reveron A, Khalid S, Williams TJ, Waters EM, Drake CT, McEwen BS, Milner TA",18691558,,,10.1016/j.brainres.2008.07.058,,,70,84,Ovarian steroids modulate leu-enkephalin levels and target leu-enkephalinergic profiles in the female hippocampal mossy fiber pathway.,2008 Sep 26,Brain Res,1232,,,
"Canto CB, Wouterlood FG, Witter MP",18769556,PMC2526269,,10.1155/2008/381243,,1,381243,,What does the anatomical organization of the entorhinal cortex tell us?,2008,Neural Plast,2008,,"6082: EC:excitatory: MEC layer II stellate cells, LEC layer II pyramidal cells ### 6003: EC:SC_II: MEC layer II stellate cells ### 6095: EC:HOBIPPY: EC small layer V pyramidal cell, EC large layer V pyramidal cell ### 6085: EC:PC_V-DG: EC layer V horizontal cell ### 6021: EC:PC_V_sm: EC layer V small pyramidal cells ### 6086: EC:MPN_V-VI: EC layer V multipolar neuron, entorhinal cortex layer VI multipolar neuron, medial entorhinal cortex layer VI pyramidal cell ### 6053: EC:MPI-BC_II: EC layer II MPNs, EC layer II fast-spiking basket-like cells, EC layer II basket cells ### 6048: EC:AA_II: EC layer II chandelier cells, EC layer II axo-axonic cells ### 6087: EC:PL-BPN_III: EC layer III pyramidal looking interneurons, EC layer III PLIs, EC layer III bipolar cells ### 6049: EC:MPI_3_III: EC layer III principal MPNs ### 6050: EC:GN_IV-V: EC layer V globular cells ### 6072: EC:PC_III_nonspiny: EC layer III nonspiny pyramidal cells ### 6072: EC:PC_III_nonspiny: EC layer III NSPCs ### 6076: EC:AA_II-III: EC layer II chandelier cells; EC layer II axo-axonic cells",1
"Wouterlood FG, Boekel AJ, Aliane V, Belien JA, Uylings HB, Witter MP",18789377,,,10.1016/j.neuroscience.2008.08.023,,,653,661,Contacts between medial and lateral perforant pathway fibers and parvalbumin expressing neurons in the subiculum of the rat.,2008 Oct 15,Neuroscience,156,3,5006: SUB:PV: SUB parvalbumin positive interneurons,0
"Fuentealba P, Tomioka R, Dalezios Y, Marton LF, Studer M, Rockland K, Klausberger T, Somogyi P",18829959,,,10.1523/JNEUROSCI.2052-08.2008,,,10017,10022,Rhythmically active enkephalin-expressing GABAergic cells in the CA1 area of the  hippocampus project to the subiculum and preferentially innervate interneurons.,2008 Oct 1,J Neurosci,28,40,"4041: CA1:ENK: CA1 ENK-expressing cells, CA1 ENK-immunopositive cells, CA1 ENK-expressing interneuron, P30b",1
